MTF, Perception
0.0332,0.00
0.0349,0.00
0.0357,0.00
0.0359,0.00
0.0361,0.00
0.0361,0.00
0.0361,0.00
0.0362,0.00
0.0362,0.00
0.0364,0.00
0.0366,0.00
0.0366,0.00
0.0366,0.00
0.0366,0.00
0.0366,0.00
0.0367,0.00
0.0369,0.00
0.0371,0.00
0.0371,0.00
0.0372,0.00
0.0376,0.65
0.0376,0.80
0.0376,0.61
0.0377,0.71
0.0378,0.63
0.0378,0.62
0.0380,0.59
0.0381,0.60
0.0381,0.60
0.0382,0.59
0.0382,0.63
0.0383,0.80
0.0385,0.66
0.0385,0.60
0.0385,0.61
0.0386,0.80
0.0386,0.65
0.0386,0.79
0.0387,0.81
0.0387,0.79
0.0388,0.58
0.0388,0.81
0.0388,0.80
0.0388,0.59
0.0388,0.79
0.0388,0.80
0.0389,0.79
0.0389,0.80
0.0389,0.79
0.0389,0.80
0.0390,0.79
0.0390,0.64
0.0390,0.50
0.0390,0.79
0.0391,0.79
0.0391,0.52
0.0391,0.79
0.0393,0.80
0.0396,0.79
0.0415,0.51
0.0433,0.67
0.0450,0.60
0.0477,0.61
0.0481,0.67
0.0491,0.72
0.0493,0.54
0.0493,0.72
0.0496,0.81
0.0496,0.69
0.0498,0.69
0.0498,0.67
0.0498,0.69
0.0499,0.71
0.0499,0.72
0.0500,0.72
0.0502,0.70
0.0502,0.70
0.0503,0.71
0.0503,0.71
0.0504,0.69
0.0505,0.69
0.0506,0.61
0.0521,0.80
0.0530,0.80
0.0532,0.80
0.0533,0.81
0.0533,0.75
0.0534,0.81
0.0534,0.81
0.0534,0.80
0.0534,0.81
0.0534,0.80
0.0536,0.81
0.0536,0.81
0.0536,0.81
0.0537,0.75
0.0537,0.81
0.0538,0.81
0.0538,0.78
0.0538,0.76
0.0538,0.81
0.0538,0.72
0.0539,0.80
0.0540,0.77
0.0540,0.77
0.0540,0.76
0.0541,0.80
0.0542,0.74
0.0543,0.76
0.0543,0.77
0.0544,0.80
0.0545,0.81
0.0547,0.78
0.0547,0.73
0.0548,0.78
0.0548,0.76
0.0548,0.79
0.0549,0.78
0.0551,0.79
0.0551,0.77
0.0591,0.76
0.0700,0.82
0.0703,0.82
0.0720,0.81
0.0784,0.83
0.0795,0.82
0.0796,0.83
0.0965,0.78
0.1009,0.82
0.1017,0.82
0.1035,0.82
0.1054,0.71
0.1063,0.82
0.1068,0.78
0.1074,0.82
0.1092,0.78
0.1129,0.71
0.1131,0.78
0.1135,0.82
0.1145,0.76
0.1164,0.77
0.1183,0.76
0.1198,0.76
0.1218,0.78
0.1228,0.71
0.1230,0.76
0.1231,0.77
0.1241,0.79
0.1246,0.77
0.1246,0.82
0.1295,0.76
0.1299,0.77
0.1322,0.76
0.1361,0.82
0.1375,0.82
0.1388,0.82
0.1396,0.82
0.1419,0.82
0.1446,0.82
0.1486,0.82
0.1955,0.82
0.1959,0.84
0.1960,0.83
0.1963,0.84
0.1965,0.82
0.1973,0.84
0.1989,0.83
0.1999,0.82
0.2007,0.85
0.2012,0.82
0.2014,0.86
0.2016,0.85
0.2017,0.82
0.2019,0.83
0.2027,0.84
0.2029,0.83
0.2038,0.84
0.2065,0.84
0.2074,0.83
0.2106,0.84
0.4960,0.84
0.5000,0.84
0.5000,0.83
0.5000,0.83
0.5000,0.80
0.5040,0.83
0.5040,0.84
0.5070,0.84
0.5110,0.83
0.5110,0.84
0.5110,0.83
0.5110,0.84
0.5110,0.81
0.5230,0.83
0.5310,0.83
0.5350,0.83
0.5460,0.83
0.5518,0.83
0.5580,0.81
0.5820,0.83